tax,nClade,,
I21988_DAB5648_marmoratus_C,marmoratus_C,marm_C,9
I22014_DAB8129_marmoratus_C,marmoratus_C,marm_C,16
I22028_DAB6085_marmoratus_C,marmoratus_C,marm_C,19
I22069_DAB10961_marmoratus_E,marmoratus_E,marm_E,25
I22366_DAB4913_marmoratus_C,marmoratus_C,marm_C,33
I22368_DAB4928_marmoratus_C,marmoratus_C,marm_C,35
I22373_DAB6079_quadramaculatus_C,quadramaculatus_C,quad_C,40
I22377_DAB8289_marmoratus_E,marmoratus_E,marm_E,44
I22378_DAB8405_quadramaculatus_E,quadramaculatus_E,quad_E,45
I22379_DAB8408_marmoratus_E,marmoratus_E,marm_E,46
I22382_DAB8931_marmoratus_C,marmoratus_C,marm_C,47
I22392_DAB10870_marmoratus_C,marmoratus_C,marm_C,53
I26876_DAB955_quadramaculatus_E,quadramaculatus_E,quad_E,68
I26879_DAB1080_quadramaculatus_E,quadramaculatus_E,quad_E,71
I26884_DAB1355_quadramaculatus_C,quadramaculatus_C,quad_C,76
I26890_DAB1469_quadramaculatus_D,quadramaculatus_D,quad_D,82
I26938_DAB3262_quadramaculatus_D,quadramaculatus_D,quad_D,127
I26940_DAB3390_quadramaculatus_D,quadramaculatus_D,quad_D,129
I27009_DAB4956_quadramaculatus_C,quadramaculatus_C,quad_C,192
I27047_DAB6073_quadramaculatus_E,quadramaculatus_E,quad_E,226
I27071_DAB6345_quadramaculatus_E,quadramaculatus_E,quad_E,245
I27093_DAB7078_quadramaculatus_E,quadramaculatus_E,quad_E,266
I27094_DAB7096_quadramaculatus_E,quadramaculatus_E,quad_E,267
I27096_DAB7139_quadramaculatus_E,quadramaculatus_E,quad_E,269
I27109_DAB7888_quadramaculatus_G,quadramaculatus_G,quad_G,282
I27111_DAB7914_quadramaculatus_G,quadramaculatus_G,quad_G,284
I27123_DAB8238_quadramaculatus_E,quadramaculatus_E,quad_E,296
I27124_DAB8335_quadramaculatus_E,quadramaculatus_E,quad_E,297
I27127_DAB8413_quadramaculatus_E,quadramaculatus_E,quad_E,300
I27135_DAB8727_quadramaculatus_E,quadramaculatus_E,quad_E,308
I27136_DAB8739_marmoratus_E,marmoratus_E,marm_E,309
I27137_DAB8741_quadramaculatus_E,quadramaculatus_E,quad_E,310
I27167_DAB9441_quadramaculatus_C,quadramaculatus_C,quad_C,337
I27181_DAB10214_quadramaculatus_D,quadramaculatus_D,quad_D,350
I27182_DAB10230_quadramaculatus_D,quadramaculatus_D,quad_D,351
I27186_DAB10411_quadramaculatus_E,quadramaculatus_E,quad_E,355
I27190_DAB10487_quadramaculatus_C,quadramaculatus_C,quad_C,359
I27191_DAB10504_quadramaculatus_C,quadramaculatus_C,quad_C,360
I27193_DAB10555_quadramaculatus_C,quadramaculatus_C,quad_C,362
I27194_DAB10560_quadramaculatus_E,quadramaculatus_E,quad_E,363
I27197_DAB10678_quadramaculatus_C,quadramaculatus_C,quad_C,366
I27198_DAB10688_quadramaculatus_C,quadramaculatus_C,quad_C,367
I27200_DAB10780_marmoratus_C,marmoratus_C,marm_C,369
I27204_DAB10922_quadramaculatus_G,quadramaculatus_G,quad_G,373
I27206_DAB10950_quadramaculatus_G,quadramaculatus_G,quad_G,375
I27209_DAB10992_quadramaculatus_E,quadramaculatus_E,quad_E,378
I27210_DAB11014_quadramaculatus_G,quadramaculatus_G,quad_G,379
I27212_DAB11022_quadramaculatus_E,quadramaculatus_E,quad_E,381
I27214_DAB11105_quadramaculatus_D,quadramaculatus_D,quad_D,383
I27222_DAB11302_quadramaculatus_D,quadramaculatus_D,quad_D,391
I27225_DAB11796_quadramaculatus_E,quadramaculatus_E,quad_E,394
I27226_DAB11798_quadramaculatus_G,quadramaculatus_G,quad_G,395
I27228_DAB11820_quadramaculatus_E,quadramaculatus_E,quad_E,397
