tip	clade	tip
I22366_4913_marmoratus_C	marmoratus_C	marm_C
I22368_4928_marmoratus_C	marmoratus_C	marm_C
I8479_959_marmoratus_C	marmoratus_C	marm_C
I8508_2902_marmoratus_C	marmoratus_C	marm_C
I21988_5648_marmoratus_C	marmoratus_C	marm_C
I22028_6085_marmoratus_C	marmoratus_C	marm_C
I22014_8129_marmoratus_C	marmoratus_C	marm_C
I22382_8931_marmoratus_C	marmoratus_C	marm_C
I22392_10870_marmoratus_C	marmoratus_C	marm_C
I8471_700_marmoratus_EH	marmoratus_E	marm_E
I9347_5405_marmoratus_EH	marmoratus_E	marm_E
I22377_8289_marmoratus_EH	marmoratus_E	marm_E
I22069_10961_marmoratus_EH	marmoratus_E	marm_E
I8480_1144_marmoratus_G	marmoratus_G	marm_G
I22379_8408_marmoratus_EH	marmoratus_E	marm_E
I8472_707_quadramaculatus_C	quadramaculatus_C	quad_C
I9342_1356_quadramaculatus_C	quadramaculatus_C	quad_C
I22373_6079_quadramaculatus_C	quadramaculatus_C	quad_C
I8495_1959_quadramaculatus_DE	quadramaculatus_D	quad_D
I8512_3346_quadramaculatus_DE	quadramaculatus_D	quad_D
I8462_411_quadramaculatus_DE	quadramaculatus_E	quad_E
I8500_2281_quadramaculatus_DE	quadramaculatus_E	quad_E
I22378_8405_quadramaculatus_DE	quadramaculatus_E	quad_E
I8513_3420_quadramaculatus_G	quadramaculatus_G	quad_G
I9349_6027_quadramaculatus_G	quadramaculatus_G	quad_G
